SERVICE,Task Name,Category,Task Description,Frequency,Task Type,Automated (Y/N),Notes,Source,Documentation Link
Azure DevOps,Testing Management - Tasks,Test Plans,Collect Diagnostic data.  Set Permissions and Access,As Required,,,,,
Azure DevOps,Get access to Azure Artifacts,Artifacts,Integrate package management to your continuous integration/continuous delivery (CI/CD) pipelines,As Required,,,,,
Azure DevOps,Create Packages,Artifacts,Creating packages as part of a build,As Required,,,,,
Azure DevOps,Consume packages ,Artifacts,Consume packages from public and internal sources ,As Required,,,,,
Azure DevOps,Manage Feeds,Artifacts,"Azure Artifacts, packages are stored in feeds.",As Required,,,,,
Azure DevOps,Construct Graphs,Artifacts,Constructing a complete package graph,As Required,,,,,
Azure DevOps,Determine Appraoch: Services or Server,Azure DevOps Service/Server,Azure DevOps Services vs. Azure DevOps Server,As Required,,,,,
Azure DevOps,Set up Authentication,Azure DevOps Service/Server,"You either authenticate with Microsoft account credentials or with Azure AD
credentials, depending on your organization setup",As Required,,,,,
Azure DevOps,Set up and Manage Users and Groups,Azure DevOps Service/Server,"You can add Azure AD groups to Azure DevOps Services groups. If you use Microsoft Accounts instead of Azure AD, you have to add users one at a time.",As Required,,,,,
Azure DevOps,Set up and Manage User Access,Azure DevOps Service/Server,Manage access to features by assigning users to an access level. All users must be assigned to a single access level,As Required,,,,,
Azure DevOps,Set up Security and Data Protection,Azure DevOps Service/Server,Take steps to secure your data.,As Required,,,,,
Azure DevOps,Process Customization,Azure DevOps Service/Server,"You customize the work-tracking experience in two different ways, depending on the supported process model:",As Required,,,,,
Azure DevOps,Set up Reporting,Azure DevOps Service/Server,Set up  tools that give you insight into the progress and quality of your software projects.,As Required,,,,,
Azure Governance,Resource Consistency,Subscription Management,Create Azure Management Group,,,,,,
Azure Governance,Resource Consistency,Subscription Management,Update Azure Management Group,,,,,,
Azure Governance,Resource Consistency,Subscription Management,Delete Azure Management Group,,,,,,
Azure Governance,Resource Consistency,Subscription Management,Create Azure Subscription,,,,,,
Azure Governance,Resource Consistency,Subscription Management,Update Azure Subscription,,,,,,
Azure Governance,Resource Consistency,Subscription Management,Delete Azure Subscription,,,,,,
Azure Governance,Resource Consistency,Subscription Management,Create Azure Naming Convention,,,,,,
Azure Governance,Resource Consistency,Subscription Management,Update Azure Naming Convention,,,,,,
Azure Governance,Resource Consistency,Subscription Management,Delete Azure Naming Convention,,,,,,
Azure Governance,Resource Consistency,Subscription Management,Create Azure Tags,,,,,,
Azure Governance,Resource Consistency,Subscription Management,Update Azure Tags,,,,,,
Azure Governance,Resource Consistency,Subscription Management,Delete Azure Tags,,,,,,
Azure Governance,Resource Consistency Planning and Readiness,Subscription Management,"Evaluate your Resource Consistency toolchain options (Azure Resource Manager, Azure Blueprints, Azure Automation, Azure Backup, Azure Site Recovery)",,,,,,
Azure Governance,Resource Consistency Planning and Readiness,Subscription Management,Understand the licensing requirements for your cloud strategy.,,,,,,
Azure Governance,Resource Consistency Planning and Readiness,Subscription Management,Develop a draft Architecture Guidelines document and distribute to key stakeholders.,,,,,,
Azure Governance,Resource Consistency Planning and Readiness,Subscription Management,"Become familiar with the resource manager you use to deploy, manage, and monitor all the resources for your solution as a group.",,,,,,
Azure Governance,Resource Consistency Planning and Readiness,Subscription Management,Educate and involve the people and teams affected by the development of architecture guidelines.,,,,,,
Azure Governance,Resource Consistency Planning and Readiness,Subscription Management,Add prioritized resource deployment tasks to your migration backlog.,,,,,,
Azure Governance,Resource Consistency Build and Pre-Deployment,Subscription Management,"Implement your Resource Consistency toolchain by rolling out in a predeployment phase (Azure Resource Manager, Azure Blueprints, Azure Automation, Azure Backup, Azure Site Recovery)",,,,,,
Azure Governance,Resource Consistency Build and Pre-Deployment,Subscription Management,Update the Architecture Guidelines document and distribute to key stakeholders.,,,,,,
Azure Governance,Resource Consistency Build and Pre-Deployment,Subscription Management,Implement resource deployment tasks on your prioritized migration backlog.,,,,,,
Azure Governance,Resource Consistency Build and Pre-Deployment,Subscription Management,"Develop educational materials and documentation, awareness communications, incentives, and other programs to help drive user adoption.",,,,,,
Azure Governance,Resource Consistency Adoption and Migration,Subscription Management,Migrate your Resource Consistency toolchain from predeployment to production.,,,,,,
Azure Governance,Resource Consistency Adoption and Migration,Subscription Management,Update the Architecture Guidelines document and distribute to key stakeholders.,,,,,,
Azure Governance,Resource Consistency Adoption and Migration,Subscription Management,"Develop educational materials and documentation, awareness communications, incentives, and other programs to help drive user adoption.",,,,,,
Azure Governance,Resource Consistency Adoption and Migration,Subscription Management,Migrate any existing automated remediation scripts or tools to support defined SLA requirements.,,,,,,
Azure Governance,Cost Management Planning and Reporting,Subscription Management,"Deployment planning: Before deploying any asset, establish a forecasted budget based on expected cloud allocation. Ensure that ownership and accounting information for the deployment is documented.",,,,,,
Azure Governance,Cost Management Planning and Reporting,Subscription Management,"Annual planning: On an annual basis, perform a roll-up analysis on all deployed and to-be-deployed assets. Align budgets by business units, departments, teams, and other appropriate divisions to empower self-service adoption. Ensure that the leader of each billing unit is aware of the budget and how to track spending. ",,,,,,
Azure Governance,Cost Management Planning and Reporting,Subscription Management,"Quarterly planning: On a quarterly basis, review budgets with each billing unit leader to align forecast and actual spending. If there are changes to the plan or unexpected spending patterns, align and reallocate the budget.",,,,,,
Azure Governance,Cost Management Planning and Reporting,Subscription Management,"Education and training: On a bimonthly basis, offer training sessions to make sure business and IT staff are up-to-date on the latest Cost Management policy requirements. As part of this process review and update any documentation, guidance, or other training assets to ensure they are in sync with the latest corporate policy statements.",,,,,,
Azure Governance,Cost Management Planning and Reporting,Subscription Management,"Monthly reporting: On a monthly basis, report actual spending against forecast. Notify billing leaders of any unexpected deviations.",,,,,,
Azure Governance,Cost Management Planning and Readiness,Subscription Management,Evaluate your Cost Management toolchain options,,,,,,
Azure Governance,Cost Management Planning and Readiness,Subscription Management,Develop a draft Architecture Guidelines document and distribute to key stakeholders.,,,,,,
Azure Governance,Cost Management Planning and Readiness,Subscription Management,Educate and involve the people and teams affected by the development of Architecture Guidelines.,,,,,,
Azure Governance,Cost Management Build and Predeployment,Subscription Management,Implement your Cost Management toolchain by rolling out in a predeployment phase.,,,,,,
Azure Governance,Cost Management Build and Predeployment,Subscription Management,Update the Architecture Guidelines document and distribute to key stakeholders.,,,,,,
Azure Governance,Cost Management Build and Predeployment,Subscription Management,"Develop educational materials and documentation, awareness communications, incentives, and other programs to help drive user adoption.",,,,,,
Azure Governance,Cost Management Build and Predeployment,Subscription Management,Determine if your purchase requirements align with your budgets and goals.,,,,,,
Azure Governance,Cost Management Adoption and Migration,Subscription Management,Migrate your Cost Management toolchain from predeployment to production.,,,,,,
Azure Governance,Cost Management Adoption and Migration,Subscription Management,Update the Architecture Guidelines document and distribute to key stakeholders.,,,,,,
Azure Governance,Cost Management Adoption and Migration,Subscription Management,"Develop educational materials and documentation, awareness communications, incentives, and other programs to help drive user adoption.",,,,,,
Azure Governance,Security Baseline Blueprints,Subscription Management,Define the Azure Security Policies,,,,,,
Azure Governance,Security Baseline Blueprints,Subscription Management,Define the Azure Security Policy Parameter(s),,,,,,
Azure Governance,Security Baseline Blueprints,Subscription Management,Create Security Baseline Blueprint,,,,,,
Azure Governance,Security Baseline Blueprints,Subscription Management,Publish Security Baseline Blueprint,,,,,,
Azure Governance,Security Baseline Blueprints,Subscription Management,Assign Security Baseline Blueprint,,,,,,
Azure Governance,Security Baseline Blueprints,Subscription Management,Update Security Baseline Blueprint,,,,,,
Azure Governance,Security Baseline Blueprints,Subscription Management,Unassign Security Baseline Blueprint,,,,,,
Azure Governance,Security Baseline Blueprints,Subscription Management,Delete Security Baseline Blueprint,,,,,,
Azure Governance,Azure AD PIM Roles,Subscription Management,Identify your stakeholders (Azure AD),,,,,,
Azure Governance,Azure AD PIM Roles,Subscription Management,Enable PIM Service,,,,,,
Azure Governance,Azure AD PIM Roles,Subscription Management,Enforce Principle of least privilege (Azure AD),,,,,,
Azure Governance,Azure AD PIM Roles,Subscription Management,Run Azure AD PIM Wizard (Discover Azure AD privileged users),,,,,,
Azure Governance,Azure AD PIM Roles,Subscription Management,Assign a more restrictive admin role (Azure AD),,,,,,
Azure Governance,Azure AD PIM Roles,Subscription Management,Configure Azure AD PIM Settings ,,,,,,
Azure Governance,Azure AD PIM Roles,Subscription Management,Configure Azure AD PIM Members ,,,,,,
Azure Governance,Azure AD PIM Roles,Subscription Management,Configure Azure AD PIM Access Reviews,,,,,,
Azure Governance,Azure AD PIM Roles,Subscription Management,Monitor Azure AD PIM Alerts,,,,,,
Azure Governance,Azure AD PIM Deployment,Subscription Management,Identify your stakeholders (Azure Resources),,,,,,
Azure Governance,Azure AD PIM Deployment,Subscription Management,Enable PIM Service,,,,,,
Azure Governance,Azure AD PIM Deployment,Subscription Management,Enforce Principle of least privilege (Azure Resources),,,,,,
Azure Governance,Azure AD PIM Deployment,Subscription Management,Configure Azure Resources PIM Settings ,,,,,,
